T:100 S:281 V:72 C:108 t:0.038
T:200 S:615 V:139 C:275 t:0.068
T:300 S:958 V:211 C:447 t:0.137
T:400 S:1301 V:282 C:618 t:0.14
T:500 S:1644 V:354 C:790 t:0.183
T:600 S:1987 V:425 C:961 t:0.229
T:700 S:2327 V:495 C:1131 t:0.277
T:800 S:2671 V:567 C:1303 t:0.334
T:900 S:3016 V:640 C:1476 t:0.366
T:1000 S:3358 V:711 C:1647 t:0.413
