T:100 S:274 V:91 C:82 t:65
T:200 S:580 V:194 C:185 t:64
T:300 S:872 V:307 C:264 t:91
T:400 S:1193 V:480 C:312 t:182
T:500 S:1465 V:602 C:362 t:281
T:600 S:1709 V:665 C:444 t:326
T:700 S:1964 V:721 C:542 t:363
T:800 S:2233 V:784 C:649 t:388
T:900 S:2516 V:856 C:759 t:417
T:1000 S:2805 V:933 C:871 t:449
