T:100 S:274 V:91 C:82 t:0.041
T:200 S:579 V:194 C:184 t:0.076
T:300 S:876 V:309 C:266 t:0.089
T:400 S:1193 V:480 C:313 t:0.183
T:500 S:1463 V:598 C:364 t:0.275
T:600 S:1711 V:666 C:445 t:0.335
T:700 S:1965 V:722 C:542 t:0.36
T:800 S:2233 V:784 C:649 t:0.403
T:900 S:2515 V:856 C:759 t:0.416
T:1000 S:2805 V:933 C:871 t:0.448
