T:100 S:274 V:84 C:90 t:68
T:200 S:592 V:168 C:223 t:101
T:300 S:912 V:254 C:357 t:89
T:400 S:1234 V:341 C:492 t:140
T:500 S:1557 V:429 C:628 t:152
T:600 S:1876 V:514 C:761 t:188
T:700 S:2201 V:603 C:898 t:226
T:800 S:2521 V:689 C:1031 t:265
T:900 S:2845 V:777 C:1167 t:302
T:1000 S:3162 V:862 C:1300 t:348
