T:100 S:275 V:84 C:90 t:0.061
T:200 S:591 V:168 C:223 t:0.095
T:300 S:913 V:255 C:358 t:0.085
T:400 S:1235 V:342 C:493 t:0.138
T:500 S:1558 V:429 C:628 t:0.153
T:600 S:1876 V:514 C:761 t:0.195
T:700 S:2197 V:601 C:896 t:0.232
T:800 S:2519 V:688 C:1031 t:0.278
T:900 S:2841 V:775 C:1165 t:0.322
T:1000 S:3162 V:862 C:1300 t:0.363
