T:200 S:591 V:168 C:223 t:0.085
T:400 S:1234 V:341 C:492 t:0.183
T:600 S:1877 V:515 C:762 t:0.19
T:800 S:2520 V:689 C:1031 t:0.262
T:1000 S:3164 V:863 C:1301 t:0.344
T:1200 S:3801 V:1033 C:1567 t:0.424
T:1400 S:4446 V:1208 C:1837 t:0.505
T:1600 S:5090 V:1383 C:2107 t:0.592
T:1800 S:5731 V:1556 C:2375 t:0.682
T:2000 S:6377 V:1731 C:2646 t:0.782
