T:100 S:274 V:91 C:82 t:0.041
T:200 S:580 V:195 C:185 t:0.113
T:300 S:874 V:310 C:264 t:0.206
T:400 S:1195 V:483 C:311 t:0.396
T:500 S:1465 V:601 C:363 t:0.682
T:600 S:1709 V:664 C:444 t:1.017
T:700 S:1964 V:722 C:542 t:1.398
T:800 S:2233 V:784 C:649 t:1.811
T:900 S:2515 V:855 C:759 t:2.25
T:1000 S:2806 V:934 C:872 t:2.73
